S:  6
The coordinates  of  sensors. (x, y )
8	75
24	17
34	84
82	32
86	55
98	98


X: 60
The coordinates of the point and its penalty. (x,y,pi)
5	81	21
7	42	5
9	26	16
10	21	24
11	48	19
12	16	56
12	36	75
13	6	74
13	62	73
15	10	65
15	38	78
16	38	71
21	5	19
22	48	90
23	38	9
24	92	60
28	58	20
28	85	23
31	78	32
32	27	19
33	71	47
40	1	87
41	59	37
45	24	54
45	82	56
46	16	65
47	86	37
48	8	78
49	26	84
51	62	69
51	77	27
53	20	73
53	99	14
54	49	46
57	61	56
61	56	64
62	11	36
62	80	67
67	62	81
68	66	6
68	68	13
71	22	79
71	86	39
72	10	38
73	22	87
74	58	69
75	48	89
75	54	22
79	41	10
79	95	36
81	66	46
83	52	52
83	93	89
86	90	45
88	49	37
90	94	91
94	58	24
96	3	61
96	28	88
96	65	61
