S:  10
The coordinates  of  sensors. (x, y )
6	26
38	21
55	61
20	79
62	3
71	77
80	45
87	63
96	12
96	97


X: 100
The coordinates of the point and its penalty. (x,y,pi)
1	37	83
1	49	69
3	74	27
4	2	31
4	57	43
5	71	52
7	2	55
7	59	22
7	65	53
8	5	34
9	69	25
9	77	90
10	94	59
12	39	36
14	25	11
15	19	29
15	42	5
15	82	35
16	11	66
16	52	71
17	25	10
20	20	84
20	26	63
23	49	11
23	89	69
25	4	68
25	36	75
26	72	55
26	85	52
29	32	75
30	11	88
30	47	5
31	17	16
33	43	76
33	46	2
34	31	60
35	75	78
35	83	34
35	96	66
37	47	36
39	35	85
39	54	43
39	63	48
39	69	4
40	99	21
41	60	74
41	76	11
43	3	41
43	62	62
44	27	42
46	81	3
54	19	63
55	7	21
55	37	21
58	77	8
61	62	50
62	6	54
63	57	8
64	53	17
65	6	38
65	37	16
65	56	80
67	10	83
67	36	40
68	10	13
69	98	47
70	26	73
70	81	55
70	86	62
72	2	43
73	91	65
74	38	27
75	36	4
75	44	46
75	67	19
76	62	88
77	50	70
79	76	56
84	30	36
84	67	83
85	87	49
88	81	68
90	9	38
90	72	32
90	98	68
91	30	73
92	54	36
93	6	71
93	46	47
93	59	36
94	1	35
94	12	81
94	88	67
95	42	70
95	56	45
97	15	38
97	73	80
98	4	23
99	10	3
99	64	10
