S:  8
The coordinates  of  sensors. (x, y )
9	32
33	55
33	78
45	83
56	29
67	14
85	88
87	8



X: 80
The coordinates of the point and its penalty. (x,y,pi)
1	39	87
2	61	36
5	32	70
5	34	10
5	66	21
7	21	10
8	2	3
8	11	48
8	67	24
10	66	4
10	100	68
11	90	50
14	0	80
15	68	52
16	97	88
17	96	69
18	84	86
24	13	67
26	64	25
27	89	9
28	46	63
30	8	74
30	53	15
32	10	29
32	48	45
32	50	64
34	31	55
34	100	6
35	63	88
36	84	53
37	45	53
39	28	53
39	87	55
40	81	13
41	29	4
43	26	38
45	87	26
46	23	63
47	24	90
47	25	23
47	72	70
50	53	61
50	70	49
51	4	82
53	64	61
54	40	50
54	43	9
54	44	4
55	45	87
56	74	67
59	19	81
59	47	82
62	25	72
63	6	49
64	12	32
65	31	26
66	22	44
66	94	2
68	4	39
68	10	66
68	49	38
68	59	55
73	79	54
77	52	89
78	2	26
78	39	5
80	32	79
80	37	81
83	26	34
84	35	14
85	85	16
86	77	16
86	80	55
86	82	78
89	74	5
95	9	54
97	93	23
98	11	21
98	77	67
99	21	17
