S:  6
The coordinates  of  sensors. (x, y )
2	18
7	4
8	15
16	19
17	11
22	19

X: 60
The coordinates of the point and its penalty. (x,y,pi)
0	1	11
0	21	4
1	5	6
1	10	10
1	15	5
1	21	6
2	2	8
2	4	10
2	19	10
2	20	4
3	8	5
3	14	7
4	25	11
6	2	9
6	4	3
6	10	9
6	18	2
6	24	9
7	7	8
7	13	11
7	22	4
9	11	9
9	16	10
9	22	7
9	23	9
10	14	10
10	24	3
10	25	8
11	0	9
11	3	6
13	2	6
13	15	3
13	16	8
14	1	10
14	12	7
16	7	4
16	9	8
16	5	10
16	10	10
16	20	11
17	1	11
17	6	8
17	10	7
18	1	9
18	3	10
18	16	5
18	17	10
19	2	3
19	20	1
21	10	10
21	20	2
21	22	5
22	2	8
22	11	3
22	18	6
23	17	3
23	15	11
24	1	6
24	18	3
24	23	3

