S:  10
The coordinates  of  sensors. (x, y )
15	29
15	94
40	52
41	89
20	65
68	0
70	80
91	22
99	39
99	71


X: 100
The coordinates of the point and its penalty. (x,y,pi)
1	93	37
2	77	63
3	87	1
6	11	77
6	25	72
6	45	26
6	59	77
7	18	28
7	84	14
7	100	64
10	95	20
11	58	18
12	71	35
12	75	65
13	6	39
13	90	28
14	70	62
14	80	31
16	31	86
16	71	11
17	63	83
18	71	84
19	8	2
21	1	4
23	46	49
24	26	67
25	33	63
25	38	50
25	75	30
26	57	53
28	24	82
28	92	81
29	43	28
29	54	25
30	76	61
30	77	29
30	99	58
31	73	51
31	77	10
32	52	35
37	7	52
37	67	6
38	19	44
39	38	3
41	70	41
42	14	23
43	36	74
46	6	41
46	68	81
47	38	10
49	3	85
49	24	35
50	26	16
51	27	2
52	0	34
52	6	40
53	30	39
54	99	3
55	17	29
57	69	25
58	90	79
60	58	66
63	50	22
63	91	29
65	28	89
65	47	86
65	96	71
67	73	76
73	50	6
73	60	14
73	86	46
73	89	62
75	35	17
76	53	36
77	5	84
78	97	88
79	30	69
79	55	8
81	45	39
82	3	17
82	4	24
83	30	39
84	68	22
84	75	16
84	93	40
85	13	21
85	71	86
85	82	35
86	20	33
86	97	90
88	74	30
88	79	81
89	61	34
92	88	1
93	75	69
94	40	39
94	90	13
98	9	78
98	34	43
99	53	2
