S:  6
The coordinates  of  sensors. (x, y )
2	52
23	29
24	70
33	92
54	1
54	94
61	29
84	49


X: 80
The coordinates of the point and its penalty. (x,y,pi)
2	67	58
3	63	69
5	41	63
5	68	13
7	33	83
7	49	35
7	74	49
7	92	90
10	64	87
14	56	75
14	78	39
14	81	75
16	32	41
16	74	35
16	98	65
17	70	23
20	52	17
22	5	22
22	45	27
23	60	5
23	72	51
24	80	86
27	39	72
29	40	23
31	30	64
32	3	2
35	49	70
36	23	31
36	55	30
38	33	70
38	42	36
40	97	21
42	9	52
42	12	21
46	10	16
46	99	37
50	6	3
50	59	39
50	63	1
52	9	5
53	21	18
54	45	19
56	83	55
57	27	22
57	74	52
60	21	51
61	86	31
63	6	90
63	40	14
63	49	78
64	6	72
65	13	48
65	85	3
66	17	25
66	25	91
67	93	65
69	4	21
71	55	59
71	98	12
73	20	51
73	44	72
74	63	38
76	4	9
76	64	54
76	88	59
78	65	12
79	29	79
79	41	45
80	38	26
82	6	29
88	19	61
88	57	46
89	88	41
90	77	30
93	8	52
94	25	2
95	30	51
96	78	85
98	21	44
98	65	31
